Flight_Number;city_source;City_dest;Country_source;Country_dest
410;Sochi;Kazan;Russia;Russia
410;Astrakhan;Kazan;Russia;Russia
410;Astrakhan;Mineralnye Vody;Russia;Russia
410;Chelyabinsk;Kazan;Russia;Russia
410;Chelyabinsk;Novosibirsk;Russia;Russia
410;Moscow;Kazan;Russia;Russia
410;Moscow;Nizhnekamsk;Russia;Russia
410;Moscow;Bugulma;Russia;Russia
410;Belgorod;Kaliningrad;Russia;Russia
410;Belgorod;Kazan;Russia;Russia
410;Baku;Nizhnekamsk;Azerbaijan;Russia
410;Kaliningrad;Belgorod;Russia;Russia
410;Kazan;Sochi;Russia;Russia
410;Kazan;Astrakhan;Russia;Russia
410;Kazan;Chelyabinsk;Russia;Russia
410;Kazan;Moscow;Russia;Russia
410;Kazan;Belgorod;Russia;Russia
410;Kazan;St. Petersburg;Russia;Russia
410;Kazan;Yekaterinburg;Russia;Russia
410;St. Petersburg;Kazan;Russia;Russia
410;St. Petersburg;Nizhnekamsk;Russia;Russia
410;St. Petersburg;Bugulma;Russia;Russia
410;Mineralnye Vody;Astrakhan;Russia;Russia
410;Nizhnekamsk;Moscow;Russia;Russia
410;Nizhnekamsk;Baku;Russia;Azerbaijan
410;Nizhnekamsk;St. Petersburg;Russia;Russia
410;Nizhnekamsk;Yekaterinburg;Russia;Russia
410;Nizhnevartovsk;Yekaterinburg;Russia;Russia
410;Nizhnevartovsk;Bugulma;Russia;Russia
410;Novy Urengoy;Yekaterinburg;Russia;Russia
410;Novosibirsk;Chelyabinsk;Russia;Russia
410;Novosibirsk;Yekaterinburg;Russia;Russia
410;Yekaterinburg;Kazan;Russia;Russia
410;Yekaterinburg;Nizhnekamsk;Russia;Russia
410;Yekaterinburg;Nizhnevartovsk;Russia;Russia
410;Yekaterinburg;Novy Urengoy;Russia;Russia
410;Yekaterinburg;Novosibirsk;Russia;Russia
410;Bugulma;Moscow;Russia;Russia
410;Bugulma;St. Petersburg;Russia;Russia
410;Bugulma;Nizhnevartovsk;Russia;Russia
1654;Bratsk;Irkutsk;Russia;Russia
1654;Bratsk;Novosibirsk;Russia;Russia
1654;Chelyabinsk;Novosibirsk;Russia;Russia
1654;Chita;Irkutsk;Russia;Russia
1654;Irkutsk;Bratsk;Russia;Russia
1654;Irkutsk;Chita;Russia;Russia
1654;Irkutsk;Bodaibo;Russia;Russia
1654;Irkutsk;Novosibirsk;Russia;Russia
1654;Irkutsk;Ust-Kut;Russia;Russia
1654;Irkutsk;Lensk;Russia;Russia
1654;Irkutsk;Yakutsk;Russia;Russia
1654;Mirnyj;Novosibirsk;Russia;Russia
1654;Bodaibo;Irkutsk;Russia;Russia
1654;Novosibirsk;Bratsk;Russia;Russia
1654;Novosibirsk;Chelyabinsk;Russia;Russia
1654;Novosibirsk;Irkutsk;Russia;Russia
1654;Ust-Kut;Irkutsk;Russia;Russia
1654;Lensk;Irkutsk;Russia;Russia
1654;Yakutsk;Irkutsk;Russia;Russia
8359;Ayacucho;Lima;Peru;Peru
8359;Cuzco;Lima;Peru;Peru
8359;Cuzco;Puerto Maldonado;Peru;Peru
8359;Huánuco;Lima;Peru;Peru
8359;Iquitos;Pucallpa;Peru;Peru
8359;Iquitos;Tarapoto;Peru;Peru
8359;Lima;Ayacucho;Peru;Peru
8359;Lima;Cuzco;Peru;Peru
8359;Lima;Huánuco;Peru;Peru
8359;Lima;Pucallpa;Peru;Peru
8359;Lima;Tarapoto;Peru;Peru
8359;Pucallpa;Iquitos;Peru;Peru
8359;Pucallpa;Lima;Peru;Peru
8359;Pucallpa;Tarapoto;Peru;Peru
8359;Puerto Maldonado;Cuzco;Peru;Peru
8359;Tarapoto;Iquitos;Peru;Peru
8359;Tarapoto;Lima;Peru;Peru
8359;Tarapoto;Pucallpa;Peru;Peru
470;Abidjan;Bobo-dioulasso;Cote d'Ivoire;Burkina Faso
470;Abidjan;Ouagadougou;Cote d'Ivoire;Burkina Faso
470;Accra;Ouagadougou;Ghana;Burkina Faso
470;Bamako;Abidjan;Mali;Cote d'Ivoire
470;Bamako;Dakar;Mali;Senegal
470;Bamako;Ouagadougou;Mali;Burkina Faso
470;Bobo-dioulasso;Abidjan;Burkina Faso;Cote d'Ivoire
470;Bobo-dioulasso;Ouagadougou;Burkina Faso;Burkina Faso
470;Cotonou;Lome;Benin;Togo
470;Cotonou;Ouagadougou;Benin;Burkina Faso
470;Dakar;Bamako;Senegal;Mali
470;Dakar;Ouagadougou;Senegal;Burkina Faso
470;Lome;Ouagadougou;Togo;Burkina Faso
470;Niamey;Ouagadougou;Niger;Burkina Faso
470;Ouagadougou;Abidjan;Burkina Faso;Cote d'Ivoire
470;Ouagadougou;Accra;Burkina Faso;Ghana
470;Ouagadougou;Bamako;Burkina Faso;Mali
470;Ouagadougou;Bobo-dioulasso;Burkina Faso;Burkina Faso
470;Ouagadougou;Cotonou;Burkina Faso;Benin
470;Ouagadougou;Dakar;Burkina Faso;Senegal
470;Ouagadougou;Lome;Burkina Faso;Togo
470;Ouagadougou;Niamey;Burkina Faso;Niger
1338;Bogota;Guayaquil;Colombia;Ecuador
1338;Bogota;Quito;Colombia;Ecuador
1338;Cali;Guayaquil;Colombia;Ecuador
1338;Guayaquil;Bogota;Ecuador;Colombia
1338;Guayaquil;Cali;Ecuador;Colombia
